movie_id,title,full_title,year,imdb_url,url_title
1,Toy Story,Toy Story (1995),1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),Toy Story (1995)
2,GoldenEye,GoldenEye (1995),1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),GoldenEye (1995)
3,Four Rooms,Four Rooms (1995),1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),Four Rooms (1995)
4,Get Shorty,Get Shorty (1995),1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),Get Shorty (1995)
5,Copycat,Copycat (1995),1995,http://us.imdb.com/M/title-exact?Copycat%20(1995),Copycat (1995)
6,Shanghai Triad (Yao a yao yao dao waipo qiao),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),Yao a yao yao dao waipo qiao (1995)
7,Twelve Monkeys,Twelve Monkeys (1995),1995,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),Twelve Monkeys (1995)
8,Babe,Babe (1995),1995,http://us.imdb.com/M/title-exact?Babe%20(1995),Babe (1995)
9,Dead Man Walking,Dead Man Walking (1995),1995,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),Dead Man Walking (1995)
10,Richard III,Richard III (1995),1995,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),Richard III (1995)
11,Seven (Se7en),Seven (Se7en) (1995),1995,http://us.imdb.com/M/title-exact?Se7en%20(1995),Se7en (1995)
12,"Usual Suspects, The","Usual Suspects, The (1995)",1995,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)","Usual Suspects, The (1995)"
13,Mighty Aphrodite,Mighty Aphrodite (1995),1995,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),Mighty Aphrodite (1995)
14,"Postino, Il","Postino, Il (1994)",1994,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)","Postino, Il (1994)"
15,Mr. Holland's Opus,Mr. Holland's Opus (1995),1995,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),Mr. Holland's Opus (1995)
16,French Twist (Gazon maudit),French Twist (Gazon maudit) (1995),1995,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),Gazon maudit (1995)
17,From Dusk Till Dawn,From Dusk Till Dawn (1996),1996,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),From Dusk Till Dawn (1996)
18,"White Balloon, The","White Balloon, The (1995)",1995,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),Badkonake Sefid (1995)
19,Antonia's Line,Antonia's Line (1995),1995,http://us.imdb.com/M/title-exact?Antonia%20(1995),Antonia (1995)
20,Angels and Insects,Angels and Insects (1995),1995,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),Angels and Insects (1995)
21,Muppet Treasure Island,Muppet Treasure Island (1996),1996,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),Muppet Treasure Island (1996)
22,Braveheart,Braveheart (1995),1995,http://us.imdb.com/M/title-exact?Braveheart%20(1995),Braveheart (1995)
23,Taxi Driver,Taxi Driver (1976),1976,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),Taxi Driver (1976)
24,Rumble in the Bronx,Rumble in the Bronx (1995),1995,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),Hong Faan Kui (1995)
25,"Birdcage, The","Birdcage, The (1996)",1996,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)","Birdcage, The (1996)"
26,"Brothers McMullen, The","Brothers McMullen, The (1995)",1995,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)","Brothers McMullen, The (1995)"
27,Bad Boys,Bad Boys (1995),1995,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),Bad Boys (1995)
28,Apollo 13,Apollo 13 (1995),1995,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),Apollo 13 (1995)
29,Batman Forever,Batman Forever (1995),1995,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),Batman Forever (1995)
30,Belle de jour,Belle de jour (1967),1967,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),Belle de jour (1967)
31,Crimson Tide,Crimson Tide (1995),1995,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),Crimson Tide (1995)
32,Crumb,Crumb (1994),1994,http://us.imdb.com/M/title-exact?Crumb%20(1994),Crumb (1994)
33,Desperado,Desperado (1995),1995,http://us.imdb.com/M/title-exact?Desperado%20(1995),Desperado (1995)
34,"Doom Generation, The","Doom Generation, The (1995)",1995,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)","Doom Generation, The (1995)"
35,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home (1995),1995,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),Free Willy 2: The Adventure Home (1995)
36,Mad Love,Mad Love (1995),1995,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),Mad Love (1995)
37,Nadja,Nadja (1994),1994,http://us.imdb.com/M/title-exact?Nadja%20(1994),Nadja (1994)
38,"Net, The","Net, The (1995)",1995,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)","Net, The (1995)"
39,Strange Days,Strange Days (1995),1995,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),Strange Days (1995)
