user_id,movie_id,rating,timestamp,age,gender,occupation,zip_code
244,51,2,880606923,28,M,technician,80525
210,40,3,891035994,39,M,engineer,03060
224,29,3,888104457,31,F,educator,43512
308,1,4,887736532,60,M,retired,95076
7,32,4,891350932,57,M,administrator,91344
10,16,4,877888877,53,M,lawyer,90703
99,4,5,886519097,20,M,student,63129
115,20,3,881171009,31,M,engineer,17110
138,26,5,879024232,46,M,doctor,53211
243,15,3,879987440,33,M,educator,60201
293,5,3,888906576,24,M,writer,60804
276,54,3,874791025,21,M,student,95064
162,25,4,877635573,25,M,artist,15610
135,23,4,879857765,23,M,student,38401
62,21,3,879373460,27,F,administrator,97214
59,23,5,888205300,49,M,educator,08403
43,14,2,883955745,29,F,librarian,20854
5,2,3,875636053,33,F,other,15213
1,61,4,878542420,24,M,technician,85711
72,48,4,880036718,48,F,administrator,73034
224,26,3,888104153,31,F,educator,43512
299,14,4,877877775,29,M,doctor,63108
151,10,5,879524921,38,F,administrator,48103
6,14,5,883599249,42,M,executive,98101
303,69,5,879467542,19,M,student,14853
62,65,4,879374686,27,F,administrator,97214
279,68,4,875307407,33,M,programmer,85251
250,7,4,878089716,29,M,executive,95110
194,54,3,879525876,38,M,administrator,02154
268,2,2,875744173,24,M,engineer,19422
301,56,4,882076587,24,M,student,55439
292,11,5,881104093,35,F,programmer,94703
181,3,2,878963441,26,M,executive,21218
16,64,5,877720297,21,M,entertainment,10309
145,15,2,875270655,31,M,entertainment,V3N4P
187,64,5,879465631,26,M,educator,16801
1,33,4,878542699,24,M,technician,85711
276,2,4,874792436,21,M,student,95064
13,56,5,881515011,47,M,educator,29206
18,26,4,880129731,35,F,other,37212
87,40,3,879876917,47,M,administrator,89503
194,66,3,879527264,38,M,administrator,02154
268,62,3,875310824,24,M,engineer,19422
272,12,5,879455254,33,M,scientist,53706
296,20,5,884196921,43,F,administrator,16803
5,17,4,875636198,33,F,other,15213
128,15,4,879968827,24,F,marketing,20009
239,56,4,889179478,39,M,artist,95628
60,60,5,883327734,50,M,healthcare,06472
287,1,5,875334088,21,M,salesman,31211
65,47,2,879216672,51,F,educator,48118
1,20,4,887431883,24,M,technician,85711
290,50,5,880473582,40,M,engineer,93550
72,54,3,880036854,48,F,administrator,73034
45,25,4,881014015,29,M,programmer,50233
276,57,3,874787526,21,M,student,95064
109,8,3,880572642,29,M,other,55423
198,58,3,884208173,21,F,student,55414
157,25,3,886890787,57,M,engineer,70808
301,33,4,882078228,24,M,student,55439
308,55,3,887738760,60,M,retired,95076
62,12,4,879373613,27,F,administrator,97214
276,40,3,874791871,21,M,student,95064
269,22,1,891448072,31,F,librarian,43201
10,7,4,877892210,53,M,lawyer,90703
276,70,4,874790826,21,M,student,95064
244,17,2,880607205,28,M,technician,80525
189,56,5,893265263,32,M,artist,95014
222,26,3,878183043,29,M,programmer,27502
185,23,4,883524249,53,F,librarian,97403
207,13,3,875506839,39,M,marketing,92037
8,22,5,879362183,36,M,administrator,05201
222,49,3,878183512,29,M,programmer,27502
200,11,5,884129542,40,M,programmer,93402
90,25,5,891384789,60,M,educator,78155
15,25,3,879456204,49,F,educator,97301
16,55,5,877717956,21,M,entertainment,10309
234,10,3,891227851,60,M,retired,94702
276,64,5,874787441,21,M,student,95064
295,39,4,879518279,31,M,educator,50325
217,2,3,889069782,22,M,other,11727
189,20,5,893264466,32,M,artist,95014
42,44,3,881108548,30,M,administrator,17870
268,21,3,875742822,24,M,engineer,19422
262,28,3,879792220,19,F,student,78264
236,57,5,890116575,44,F,writer,53214
232,52,5,888550130,45,M,scientist,99709
102,70,3,888803537,38,M,programmer,30220
62,68,1,879374969,27,F,administrator,97214
85,51,2,879454782,51,M,educator,20003
224,69,4,888082495,31,F,educator,43512
94,62,3,891722933,26,M,student,71457
90,22,4,891384357,60,M,educator,78155
270,25,5,876954456,18,F,student,63119
216,55,5,880245145,22,M,engineer,02215
194,23,4,879522819,38,M,administrator,02154
161,48,1,891170745,50,M,lawyer,55104
58,9,4,884304328,27,M,programmer,52246
79,50,4,891271545,39,F,administrator,03755
235,70,5,889655619,37,M,educator,22973
297,57,5,875239383,29,F,educator,98103
221,48,5,875245462,19,M,student,20685
223,11,3,891550649,19,F,student,47906
292,9,4,881104148,35,F,programmer,94703
222,53,5,878184113,29,M,programmer,27502
24,64,5,875322758,21,F,artist,94533
82,56,3,878769410,50,M,programmer,22902
226,56,4,883889102,28,M,student,92103
16,8,5,877722736,21,M,entertainment,10309
145,56,5,875271896,31,M,entertainment,V3N4P
