movie_id,title,full_title,year,imdb_url,url_title,imdb_id
1,Toy Story,Toy Story (1995),1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),Toy Story (1995),0114709
2,GoldenEye,GoldenEye (1995),1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),GoldenEye (1995),0113189
3,Four Rooms,Four Rooms (1995),1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),Four Rooms (1995),0113101
4,Get Shorty,Get Shorty (1995),1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),Get Shorty (1995),0113161
5,Copycat,Copycat (1995),1995,http://us.imdb.com/M/title-exact?Copycat%20(1995),Copycat (1995),0112722
6,Shanghai Triad (Yao a yao yao dao waipo qiao),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),Yao a yao yao dao waipo qiao (1995),0115012
7,Twelve Monkeys,Twelve Monkeys (1995),1995,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),Twelve Monkeys (1995),0114746
8,Babe,Babe (1995),1995,http://us.imdb.com/M/title-exact?Babe%20(1995),Babe (1995),0112431
9,Dead Man Walking,Dead Man Walking (1995),1995,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),Dead Man Walking (1995),0112818
10,Richard III,Richard III (1995),1995,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),Richard III (1995),0114279
11,Seven (Se7en),Seven (Se7en) (1995),1995,http://us.imdb.com/M/title-exact?Se7en%20(1995),Se7en (1995),0114369
12,"Usual Suspects, The","Usual Suspects, The (1995)",1995,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)","Usual Suspects, The (1995)",0114814
13,Mighty Aphrodite,Mighty Aphrodite (1995),1995,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),Mighty Aphrodite (1995),0113819
14,"Postino, Il","Postino, Il (1994)",1994,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)","Postino, Il (1994)",0110877
15,Mr. Holland's Opus,Mr. Holland's Opus (1995),1995,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),Mr. Holland's Opus (1995),0113862
16,French Twist (Gazon maudit),French Twist (Gazon maudit) (1995),1995,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),Gazon maudit (1995),0113149
17,From Dusk Till Dawn,From Dusk Till Dawn (1996),1996,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),From Dusk Till Dawn (1996),0116367
18,"White Balloon, The","White Balloon, The (1995)",1995,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),Badkonake Sefid (1995),0112445
19,Antonia's Line,Antonia's Line (1995),1995,http://us.imdb.com/M/title-exact?Antonia%20(1995),Antonia (1995),0112379
20,Angels and Insects,Angels and Insects (1995),1995,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),Angels and Insects (1995),0112365
21,Muppet Treasure Island,Muppet Treasure Island (1996),1996,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),Muppet Treasure Island (1996),0117110
22,Braveheart,Braveheart (1995),1995,http://us.imdb.com/M/title-exact?Braveheart%20(1995),Braveheart (1995),0112573
23,Taxi Driver,Taxi Driver (1976),1976,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),Taxi Driver (1976),0075314
24,Rumble in the Bronx,Rumble in the Bronx (1995),1995,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),Hong Faan Kui (1995),0113326
25,"Birdcage, The","Birdcage, The (1996)",1996,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)","Birdcage, The (1996)",0115685
